employee_id,first_name,last_name,gender,date_of_birth,email,phone,department_id,department_name,job_title,employment_type,join_date,salary,status,location,manager_id,years_experience
EMP018727,Sophia,Bandara,M,27/12/1982,emp018727@company.lk,0778883803,D003,sales,Sales Executive,Contract,"August 07, 2017",46093.91,ACTIVE,Gampaha,EMP003368,8
EMP004930,Alex,Garcia,m,,emp004930@company.lk,0747074359,D001,Engineering,Software Engineer,,31 Jan 2019,193876.16,Active,Kurunegala,EMP013080,
EMP005053,Mia,Perera,Woman,04-11-1986,emp005053@company.lk,0796062646,D010,Research & Dev,Research Scientist,Part-Time,2019/09/05,214068.04,On Leave,Kurunegala,EMP013647,19
EMP003510,Sarah,Ranasinghe,female,22/06/1971,emp003510@company.lk,N/A,D005,finance,Finance Analyst,full-time,05/06/2020,209818.79,Terminated,Kandy,EMP012477,25
EMP013517,Rajith,Silva,M,05/03/1985,emp013517@company.lk,0716719042,D007,Cust Support,Customer Success Manager,Permanent,2013/03/22,165545.97,Inactive,Gampaha,,13
EMP009316,Dimuth,Brown,Man,01/06/1971,emp009316@company.lk,0780541348,D008,IT,IT Support,Contract,09-14-2022,277883.56,on leave,Kandy,,4
EMP009847,Amelia,Ilangasinghe,Woman,"August 21, 1977",emp009847@company.lk,0789177331,D010,Research & Dev,Lab Technician,full-time,11-27-2023,184462.25,Active,Kandy,EMP015075,17
EMP013484,,Rajapaksa,Female,04-20-1995,emp013484@company.lk,N/A,D012,Proc,Procurement Officer,Contract,2014-09-22,72152.06,terminated,Jaffna,EMP017284,11
EMP005075,Chamath,Weerasinghe,FEMALE,,emp005075@company.lk,0755917567,D001,Enginering,Tech Lead,Full-Time,01-28-2014,,on leave,Negombo,EMP003672,
EMP003572,David,Karunaratne,m,2000-12-24,emp003572@company.lk,0781811680,D080,Admin,Admin Executive,,"May 20, 2020",38481.65,terminated,,EMP016431,7
EMP007150,John,Wimalasuriya,female,,emp007150@company.lk,0753460498,D010,R&D,PRODUCT DEVELOPER,Permanent,25 Mar 2019,181299.84,active,,,19
EMP001332,Chamara,Davis,Man,1982-12-18,emp001332@company.lk,0768379908,D089,legal,Contract Manager,Permanent,2014/10/04,223978.28,Terminated,Gampaha,EMP000892,26
EMP005711,Rajith,Mendis,FEMALE,"January 21, 1983",emp005711@company.lk,0776092117,D009,Law,Compliance Officer,Part-Time,2017/05/10,,On Leave,Negombo,EMP005282,14
EMP006036,Sachini,Dissanayake,MALE,1975-10-07,emp006036@company.lk,N/A,D004,Mktg,Brand Manager,Contract,"April 24, 2017",326080.42,Active,Kurunegala,,27
